,datetime,precipRate
0,2024-11-11 16:58:00,0.0
1,2024-11-11 17:58:00,0.0
2,2024-11-11 18:58:00,0.0
3,2024-11-11 19:59:00,0.0
4,2024-11-11 20:59:00,0.0
5,2024-11-11 21:59:00,0.0
6,2024-11-11 22:59:00,0.0
7,2024-11-11 23:59:00,0.0
8,2024-11-12 00:58:00,0.0
9,2024-11-12 01:58:00,0.0
10,2024-11-12 02:58:00,0.0
11,2024-11-12 03:58:00,0.0
12,2024-11-12 04:59:00,0.2
13,2024-11-12 05:59:00,0.2
14,2024-11-12 06:59:00,0.0
15,2024-11-12 07:59:00,0.0
16,2024-11-12 08:59:00,0.0
17,2024-11-12 09:58:00,0.0
18,2024-11-12 10:58:00,0.0
19,2024-11-12 11:58:00,0.0
20,2024-11-12 12:58:00,0.0
21,2024-11-12 13:58:00,0.0
22,2024-11-12 14:59:00,0.0
23,2024-11-12 15:59:00,0.0
24,2024-11-12 16:59:00,0.0
25,2024-11-12 17:59:00,0.0
26,2024-11-12 18:59:00,0.0
27,2024-11-12 19:58:00,0.0
28,2024-11-12 20:58:00,0.0
29,2024-11-12 21:58:00,0.0
30,2024-11-12 22:58:00,0.0
31,2024-11-12 23:59:00,0.0
32,2024-11-13 00:59:00,0.0
33,2024-11-13 01:59:00,0.0
34,2024-11-13 02:59:00,0.0
35,2024-11-13 03:59:00,0.0
36,2024-11-13 04:58:00,0.0
37,2024-11-13 05:58:00,0.0
38,2024-11-13 06:58:00,0.0
39,2024-11-13 07:58:00,0.6
40,2024-11-13 08:59:00,0.4
41,2024-11-13 09:59:00,0.0
42,2024-11-13 10:59:00,0.0
43,2024-11-13 11:59:00,0.0
44,2024-11-13 12:59:00,0.0
45,2024-11-13 13:58:00,0.0
46,2024-11-13 14:58:00,0.0
47,2024-11-13 15:58:00,0.0
48,2024-11-13 16:58:00,0.0
49,2024-11-13 17:58:00,0.0
50,2024-11-13 18:59:00,0.0
51,2024-11-13 19:59:00,0.0
52,2024-11-13 20:59:00,0.0
53,2024-11-13 21:59:00,0.0
54,2024-11-13 22:57:00,0.0
55,2024-11-13 23:58:00,0.0
56,2024-11-14 00:58:00,0.0
57,2024-11-14 01:58:00,0.0
58,2024-11-14 02:58:00,0.0
59,2024-11-14 03:59:00,0.0
60,2024-11-14 04:59:00,0.0
61,2024-11-14 05:59:00,0.0
62,2024-11-14 06:59:00,0.0
63,2024-11-14 07:59:00,0.0
64,2024-11-14 08:58:00,0.0
65,2024-11-14 09:58:00,0.0
66,2024-11-14 10:58:00,0.0
67,2024-11-14 11:58:00,0.0
68,2024-11-14 12:59:00,0.0
69,2024-11-14 13:59:00,0.0
70,2024-11-14 14:59:00,0.0
71,2024-11-14 15:59:00,0.0
72,2024-11-14 16:59:00,0.0
73,2024-11-14 17:58:00,0.0
74,2024-11-14 18:58:00,0.0
75,2024-11-14 19:58:00,0.0
76,2024-11-14 20:58:00,0.0
77,2024-11-14 21:58:00,0.0
78,2024-11-14 22:59:00,0.0
79,2024-11-14 23:59:00,0.0
80,2024-11-15 00:59:00,0.0
81,2024-11-15 01:59:00,0.0
82,2024-11-15 02:59:00,0.0
83,2024-11-15 03:58:00,0.0
84,2024-11-15 04:58:00,0.0
85,2024-11-15 05:58:00,0.0
86,2024-11-15 06:58:00,0.0
87,2024-11-15 07:59:00,0.0
88,2024-11-15 08:59:00,0.0
89,2024-11-15 09:59:00,0.0
90,2024-11-15 10:59:00,0.0
91,2024-11-15 11:59:00,0.0
92,2024-11-15 12:58:00,0.0
93,2024-11-15 13:58:00,0.0
94,2024-11-15 14:58:00,0.0
95,2024-11-15 15:58:00,0.0
96,2024-11-15 16:58:00,0.0
97,2024-11-15 17:59:00,0.0
98,2024-11-15 18:59:00,0.0
99,2024-11-15 19:59:00,0.0
100,2024-11-15 20:59:00,0.0
101,2024-11-15 21:58:00,0.0
102,2024-11-15 22:58:00,0.0
103,2024-11-15 23:58:00,0.0
104,2024-11-16 00:58:00,0.0
105,2024-11-16 01:58:00,0.0
106,2024-11-16 02:59:00,0.0
107,2024-11-16 03:59:00,0.0
108,2024-11-16 04:59:00,0.0
109,2024-11-16 05:59:00,0.0
110,2024-11-16 06:59:00,0.0
111,2024-11-16 07:58:00,0.0
112,2024-11-16 08:58:00,0.0
113,2024-11-16 09:58:00,0.0
114,2024-11-16 10:58:00,0.0
115,2024-11-16 11:58:00,0.0
116,2024-11-16 12:59:00,0.0
117,2024-11-16 13:59:00,0.0
118,2024-11-16 14:59:00,0.0
119,2024-11-16 15:59:00,0.0
120,2024-11-16 16:58:00,0.0
121,2024-11-16 17:58:00,0.0
122,2024-11-16 18:58:00,0.0
123,2024-11-16 19:58:00,0.0
124,2024-11-16 20:58:00,0.0
125,2024-11-16 21:58:00,0.0
126,2024-11-16 22:59:00,0.0
127,2024-11-16 23:59:00,0.0
128,2024-11-17 00:59:00,0.0
129,2024-11-17 01:59:00,0.0
130,2024-11-17 02:57:00,0.0
131,2024-11-17 03:58:00,0.0
132,2024-11-17 04:58:00,0.0
133,2024-11-17 05:58:00,0.0
134,2024-11-17 06:58:00,0.0
135,2024-11-17 07:59:00,0.0
136,2024-11-17 08:59:00,0.0
137,2024-11-17 09:59:00,0.0
138,2024-11-17 10:59:00,0.0
139,2024-11-17 11:59:00,0.0
140,2024-11-17 12:57:00,0.0
141,2024-11-17 13:58:00,0.0
142,2024-11-17 14:58:00,0.0
143,2024-11-17 15:58:00,0.0
144,2024-11-17 16:58:00,0.0
145,2024-11-17 17:58:00,0.0
146,2024-11-17 18:59:00,0.0
147,2024-11-17 19:59:00,0.0
148,2024-11-17 20:59:00,0.0
149,2024-11-17 21:59:00,0.0
150,2024-11-17 22:58:00,0.0
151,2024-11-17 23:58:00,0.0
152,2024-11-18 00:58:00,0.0
153,2024-11-18 01:58:00,0.0
154,2024-11-18 02:58:00,0.0
155,2024-11-18 03:59:00,0.0
156,2024-11-18 04:59:00,0.0
157,2024-11-18 05:59:00,0.0
158,2024-11-18 06:59:00,13.8
159,2024-11-18 07:23:00,13.8
